id,name,type,specimen_id,plane_of_section_id,failed,section_thickness,qc_date,expression,storage_directory,reference_space_id,weight,sphinx_id,rnaseq_design_id,red_channel,green_channel,blue_channel,delegate,failed_facet
74800827,,SectionDataSet,74357307,1,f,25,02/05/09 23:05,t,/external/aibssan/production32/prod341/image_series_74800827/,9,5270,76487,,,,,f,734881840
74511924,,SectionDataSet,73620041,1,f,25,02/05/09 23:04,t,/external/aibssan/production32/prod340/image_series_74511924/,9,5470,126889,,,,,f,734881840
73992707,,SectionDataSet,71935622,1,f,25,02/05/09 23:03,t,/external/aibssan/production32/prod339/image_series_73992707/,9,5470,113662,,,,,f,734881840
76097699,,SectionDataSet,75749877,1,f,25,02/05/09 23:08,t,/external/aibssan/production32/prod343/image_series_76097699/,9,5270,73139,,,,,f,734881840
79907934,,SectionDataSet,79398731,1,f,25,02/05/09 22:34,t,/external/aibssan/production32/prod344/image_series_79907934/,9,5470,105427,,,,,f,734881840
73520995,,SectionDataSet,71414862,1,f,25,02/05/09 23:01,t,/external/aibssan/production32/prod338/image_series_73520995/,9,5270,59066,,,,,f,734881840
73929875,,SectionDataSet,71935646,1,f,25,02/05/09 23:02,t,/external/aibssan/production32/prod339/image_series_73929875/,9,5270,135864,,,,,f,734881840
75084131,,SectionDataSet,74878321,1,f,25,02/05/09 23:06,t,/external/aibssan/production32/prod342/image_series_75084131/,9,5270,165233,,,,,f,734881840
75041585,,SectionDataSet,74834150,1,f,25,02/05/09 23:06,t,/external/aibssan/production32/prod342/image_series_75041585/,9,5270,62545,,,,,f,734881840
74819347,,SectionDataSet,74565883,1,f,25,02/05/09 23:05,t,/external/aibssan/production32/prod341/image_series_74819347/,9,5270,5097,,,,,f,734881840
73512195,,SectionDataSet,71392996,1,f,25,02/05/09 23:01,t,/external/aibssan/production32/prod338/image_series_73512195/,9,5270,98662,,,,,f,734881840
73718053,,SectionDataSet,71478369,1,f,25,02/05/09 23:02,t,/external/aibssan/production32/prod338/image_series_73718053/,9,5270,47170,,,,,f,734881840
